,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
98,Marcus Gilchrist,CB,195.0,4.45,38.5,119.0,6.81,4.12,23.0,50.0,152.4
116,Brandon Harris,CB,191.0,4.46,35.5,113.0,6.77,4.12,6.0,60.0,175.26
131,Davon House,CB,200.0,4.44,33.5,109.0,6.65,4.12,12.0,131.0,182.88
188,Curtis Marsh,CB,197.0,4.42,37.5,123.0,6.87,4.07,1.0,90.0,182.88
224,Patrick Peterson,CB,219.0,4.31,38.0,126.0,6.58,4.07,69.0,5.0,182.88
243,Justin Rogers,CB,180.0,4.45,33.0,114.0,7.21,4.2,6.0,206.0,152.4
267,Richard Sherman,CB,195.0,4.54,38.0,125.0,6.82,4.33,72.0,154.0,190.5
272,Buster Skrine,CB,186.0,4.37,37.0,122.0,6.44,3.9,20.0,137.0,175.26
276,Jimmy Smith,CB,211.0,4.42,36.0,123.0,6.93,4.06,19.0,27.0,187.96
295,Josh Thomas,CB,191.0,4.46,38.5,126.0,6.99,4.15,7.0,143.0,152.4
297,Brandyn Thompson,CB,189.0,4.5,33.5,114.0,6.66,4.12,2.0,213.0,175.26
316,Aaron Williams,CB,204.0,4.55,37.5,127.0,6.72,4.07,17.0,34.0,182.88
19,Bill Bentley,CB,182.0,4.42,31.5,114.0,6.99,4.5,6.0,85.0,152.4
25,Robert Blanton,CB,208.0,4.66,34.0,116.0,6.71,3.97,10.0,139.0,185.42000000000002
51,Morris Claiborne,CB,188.0,4.5,34.5,118.0,7.01,4.12,16.0,6.0,154.94
87,Jamell Fleming,CB,206.0,4.43,34.0,125.0,6.71,3.97,10.0,80.0,154.94
93,Terrence Frederick,CB,187.0,4.44,35.0,121.0,6.59,4.03,3.0,246.0,152.4
99,Stephon Gilmore,CB,190.0,4.38,36.0,123.0,6.61,3.94,28.0,10.0,182.88
117,Mike Harris,CB,188.0,4.52,36.0,117.0,6.81,4.07,7.0,176.0,152.4
122,Casey Hayward,CB,192.0,4.47,34.0,119.0,6.76,3.9,21.0,62.0,154.94
142,Asa Jackson,CB,191.0,4.48,34.5,118.0,6.97,4.03,3.0,169.0,152.4
147,Janoris Jenkins,CB,193.0,4.41,33.5,121.0,6.95,4.13,38.0,39.0,152.4
149,Trumaine Johnson,CB,204.0,4.5,35.5,122.0,7.2,4.15,22.0,65.0,187.96
220,Josh Norman,CB,197.0,4.61,33.0,124.0,7.09,4.23,29.0,143.0,182.88
272,Coty Sensabaugh,CB,189.0,4.33,37.0,122.0,6.6,4.06,15.0,115.0,154.94
306,Trevin Wade,CB,192.0,4.52,34.5,116.0,6.87,4.0,5.0,245.0,152.4
2,Robert Alford,CB,188.0,4.39,40.0,132.0,6.89,4.23,23.0,60.0,152.4
18,Johnthan Banks,CB,185.0,4.61,34.0,125.0,6.97,4.27,14.0,43.0,187.96
53,Sanders Commings,CB,216.0,4.41,34.5,117.0,7.1,4.3,0.0,134.0,182.88
58,Will Davis,CB,186.0,4.51,35.5,127.0,6.52,4.02,0.0,93.0,154.94
99,Dwayne Gratz,CB,201.0,4.47,38.0,125.0,6.7,4.15,10.0,64.0,154.94
126,Micah Hyde,CB,197.0,4.56,33.0,121.0,6.78,4.2,25.0,159.0,182.88
185,Tyrann Mathieu,CB,186.0,4.5,34.0,117.0,6.87,4.14,27.0,69.0,175.26
190,Demetrius McCray,CB,187.0,4.54,36.0,126.0,7.17,4.32,16.0,210.0,185.42000000000002
194,Leon McFadden,CB,193.0,4.54,34.5,119.0,6.81,4.27,4.0,68.0,152.4
196,Brandon McGee,CB,193.0,4.4,33.5,119.0,6.71,4.18,3.0,149.0,154.94
201,Dee Milliner,CB,201.0,4.37,36.0,122.0,6.95,4.32,12.0,9.0,182.88
224,Jordan Poyer,CB,191.0,4.54,30.5,118.0,6.87,4.18,4.0,218.0,182.88
243,Logan Ryan,CB,191.0,4.56,32.5,116.0,6.69,4.06,23.0,83.0,154.94
256,Darius Slay,CB,192.0,4.36,35.5,124.0,6.9,4.21,30.0,36.0,182.88
280,Jamar Taylor,CB,192.0,4.39,35.0,127.0,6.82,4.06,14.0,54.0,154.94
307,B.W. Webb,CB,184.0,4.51,40.5,132.0,6.82,3.84,10.0,114.0,152.4
321,Steve Williams,CB,181.0,4.42,40.5,128.0,6.89,4.1,5.0,145.0,175.26
337,Blidi Wreh-Wilson,CB,195.0,4.53,36.0,128.0,6.97,4.12,7.0,70.0,185.42000000000002
15,Bene' Benwikere,CB,195.0,4.59,40.5,122.0,6.94,4.38,11.0,148.0,154.94
30,Bashaud Breeland,CB,197.0,4.62,34.5,123.0,7.04,4.33,26.0,102.0,154.94
54,Ross Cockrell,CB,191.0,4.56,36.5,122.0,7.28,4.32,19.0,109.0,182.88
69,Pierre Desir,CB,198.0,4.59,35.0,133.0,6.86,4.3,10.0,127.0,185.42000000000002
70,Brandon Dixon,CB,203.0,4.41,32.5,117.0,7.15,4.27,9.0,195.0,154.94
87,Antone Exum,CB,213.0,4.59,35.0,117.0,7.05,4.13,6.0,182.0,182.88
102,Kyle Fuller,CB,190.0,4.49,38.5,128.0,6.9,4.19,42.0,14.0,182.88
105,Phillip Gaines,CB,193.0,4.38,36.5,122.0,6.62,4.04,8.0,87.0,182.88
113,Demetri Goodson,CB,194.0,4.52,37.0,123.0,6.8,4.34,4.0,197.0,154.94
