,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
52,Sammie Coates,WR,212.0,4.43,41.0,131.0,6.98,4.06,8.0,87.0,185.42000000000002
60,Chris Conley,WR,213.0,4.35,45.0,139.0,7.06,4.3,19.0,76.0,187.96
62,Amari Cooper,WR,211.0,4.42,33.0,120.0,6.71,3.98,39.0,4.0,185.42000000000002
68,Jamison Crowder,WR,185.0,4.56,37.0,115.0,7.17,4.32,27.0,105.0,172.72
74,Geremy Davis,WR,216.0,4.49,36.5,124.0,6.86,4.18,0.0,186.0,187.96
84,Stefon Diggs,WR,195.0,4.46,35.0,115.0,7.03,4.32,44.0,146.0,182.88
88,Phillip Dorsett,WR,185.0,4.33,37.0,122.0,6.7,4.11,15.0,29.0,152.4
129,Dorial Green-Beckham,WR,237.0,4.49,33.5,119.0,6.89,4.45,21.0,40.0,195.58
130,Rashad Greene,WR,182.0,4.53,36.5,122.0,6.88,4.12,4.0,139.0,154.94
142,Justin Hardy,WR,192.0,4.56,36.5,114.0,6.63,4.21,9.0,107.0,152.4
190,Tony Lippett,WR,192.0,4.61,36.0,114.0,6.92,4.13,18.0,156.0,187.96
191,Tyler Lockett,WR,182.0,4.4,35.5,121.0,6.89,4.07,40.0,69.0,152.4
209,Vince Mayle,WR,224.0,4.67,35.5,117.0,6.93,4.13,0.0,123.0,187.96
211,Tre McBride,WR,210.0,4.41,38.0,122.0,6.96,4.08,2.0,245.0,182.88
218,Ty Montgomery,WR,221.0,4.55,40.5,121.0,6.97,4.21,17.0,94.0,182.88
220,Keith Mumphery,WR,215.0,4.54,32.5,121.0,7.07,4.25,4.0,175.0,182.88
224,J.J. Nelson,WR,156.0,4.28,36.0,127.0,7.02,4.15,12.0,159.0,152.4
306,Darren Waller,WR,238.0,4.46,37.0,125.0,7.07,4.25,21.0,204.0,198.12
312,Kevin White,WR,215.0,4.35,36.5,123.0,6.92,4.14,4.0,7.0,190.5
28,Tyler Boyd,WR,197.0,4.58,34.0,119.0,6.9,4.35,29.0,55.0,185.42000000000002
41,Aaron Burbridge,WR,206.0,4.56,30.5,115.0,7.22,4.31,2.0,213.0,182.88
77,Trevor Davis,WR,188.0,4.42,38.5,124.0,6.6,4.22,2.0,163.0,185.42000000000002
83,Josh Doctson,WR,202.0,4.5,41.0,131.0,6.84,4.08,18.0,22.0,187.96
107,Will Fuller,WR,186.0,4.32,33.5,126.0,6.93,4.27,26.0,21.0,182.88
214,Braxton Miller,WR,201.0,4.5,35.0,123.0,6.65,4.07,4.0,85.0,185.42000000000002
216,Malcolm Mitchell,WR,198.0,4.45,36.0,129.0,6.94,4.34,8.0,112.0,182.88
218,Chris Moore,WR,206.0,4.53,37.0,130.0,6.76,4.2,4.0,107.0,185.42000000000002
242,Jordan Payton,WR,207.0,4.47,34.5,121.0,7.08,4.33,0.0,154.0,185.42000000000002
243,Charone Peake,WR,209.0,4.45,35.5,122.0,6.96,4.46,2.0,241.0,187.96
263,Demarcus Robinson,WR,203.0,4.59,34.5,123.0,6.77,4.19,14.0,126.0,185.42000000000002
276,Sterling Shepard,WR,194.0,4.48,41.0,123.0,7.0,4.35,27.0,40.0,152.4
298,Michael Thomas,WR,212.0,4.57,35.0,126.0,6.8,4.13,62.0,47.0,190.5
