,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
211,Jared Odrick,DT,304.0,5.03,29.0,106.0,7.22,4.59,22.0,28.0,195.58
224,Corey Peters,DT,300.0,4.98,33.0,98.0,7.56,4.76,27.0,83.0,190.5
270,Ndamukong Suh,DT,307.0,5.03,35.5,105.0,7.21,4.44,64.0,2.0,193.04
279,Cam Thomas,DT,330.0,5.16,29.0,102.0,7.68,4.78,14.0,146.0,193.04
290,Torell Troup,DT,314.0,5.12,29.0,98.0,7.61,4.73,6.0,41.0,190.5
311,Dan Williams,DT,327.0,5.19,32.0,96.0,7.88,4.87,25.0,26.0,187.96
325,Al Woods,DT,309.0,5.15,37.0,109.0,7.45,4.67,6.0,123.0,193.04
11,Marvin Austin,DT,309.0,4.84,30.5,112.0,7.33,4.4,2.0,52.0,187.96
14,Allen Bailey,DE,285.0,4.71,36.5,117.0,7.43,4.56,19.0,86.0,190.5
17,Christian Ballard,DE,283.0,4.75,31.5,111.0,7.54,4.51,6.0,106.0,193.04
52,Jurrell Casey,DT,300.0,5.04,27.5,101.0,7.51,4.78,42.0,77.0,185.42000000000002
60,Adrian Clayborn,DE,281.0,4.78,33.0,113.0,7.3,4.13,16.0,20.0,190.5
86,Nick Fairley,DT,291.0,4.84,31.0,113.0,7.14,4.56,19.0,13.0,193.04
92,Sione Fua,DT,308.0,5.28,24.0,101.0,7.54,4.54,4.0,97.0,185.42000000000002
148,Jarvis Jenkins,DT,310.0,5.03,26.5,98.0,7.42,4.83,23.0,41.0,193.04
158,Cameron Jordan,DE,287.0,4.74,31.0,117.0,7.07,4.37,42.0,24.0,193.04
178,Corey Liuget,DT,298.0,4.97,27.5,102.0,7.48,4.68,34.0,18.0,187.96
193,Terrell McClain,DT,297.0,4.98,28.0,104.0,7.48,4.56,5.0,65.0,187.96
197,Pernell McPhee,DE,278.0,4.91,28.5,107.0,7.13,4.59,16.0,165.0,190.5
211,Chris Neild,DT,319.0,5.06,29.0,106.0,7.56,4.46,4.0,253.0,187.96
212,Drake Nevis,DT,294.0,5.06,30.5,112.0,7.71,4.65,5.0,87.0,185.42000000000002
232,Jerrell Powe,DT,335.0,5.25,25.0,93.0,8.17,5.06,8.0,199.0,187.96
290,Phil Taylor,DT,334.0,5.09,29.5,100.0,7.75,4.77,40.0,21.0,190.5
309,J.J. Watt,DE,290.0,4.81,37.0,120.0,6.88,4.21,88.0,11.0,195.58
315,Muhammad Wilkerson,DT,315.0,4.96,26.0,106.0,7.31,4.59,57.0,30.0,193.04
35,Michael Brockers,DT,322.0,5.31,26.5,105.0,7.46,4.81,36.0,14.0,195.58
57,Quinton Coples,DE,284.0,4.69,31.5,109.0,7.57,4.78,18.0,16.0,198.12
61,Fletcher Cox,DT,298.0,4.77,26.0,103.0,7.07,4.53,48.0,12.0,193.04
65,Jared Crick,DE,279.0,4.91,31.0,104.0,7.47,4.4,29.0,126.0,193.04
131,Jaye Howard,DT,301.0,4.78,27.5,106.0,7.32,4.47,18.0,114.0,190.5
139,Malik Jackson,DE,284.0,4.85,28.0,105.0,7.38,4.41,25.0,137.0,195.58
172,Markus Kuhn,DT,299.0,4.87,34.5,112.0,7.43,4.41,12.0,239.0,195.58
186,Mike Martin,DT,306.0,4.8,33.5,113.0,7.19,4.25,12.0,82.0,185.42000000000002
235,Dontari Poe,DT,346.0,4.89,29.5,105.0,7.9,4.56,45.0,11.0,190.5
249,Kheeston Randall,DT,293.0,5.0,34.0,111.0,7.49,4.84,2.0,215.0,195.58
255,Kendall Reyes,DT,299.0,4.82,34.5,113.0,7.43,4.53,24.0,49.0,193.04
285,J.R. Sweezy,DT,298.0,4.97,36.0,113.0,7.4,4.41,34.0,225.0,195.58
293,Brandon Thompson,DT,314.0,5.2,31.0,100.0,7.97,4.71,14.0,93.0,187.96
320,Billy Winn,DE,294.0,4.86,27.0,107.0,7.37,4.44,16.0,205.0,193.04
322,Derek Wolfe,DT,295.0,4.93,33.5,108.0,7.26,4.44,35.0,36.0,195.58
323,Jerel Worthy,DT,308.0,5.0,28.5,107.0,7.6,4.56,4.0,51.0,187.96
35,Josh Boyd,DT,310.0,5.14,26.5,104.0,7.16,4.64,8.0,167.0,190.5
61,Everett Dawkins,DT,292.0,5.06,30.0,103.0,7.61,4.88,0.0,229.0,187.96
68,Lavar Edwards,DE,277.0,4.8,33.0,119.0,7.03,4.51,1.0,142.0,193.04
78,Sharrif Floyd,DT,297.0,4.92,30.0,106.0,7.4,4.75,26.0,23.0,190.5
89,William Gholston,DE,281.0,4.96,28.5,110.0,7.2,4.59,22.0,126.0,198.12
105,Johnathan Hankins,DT,320.0,5.31,26.0,104.0,7.59,4.61,25.0,49.0,190.5
116,Jordan Hill,DT,303.0,5.23,22.5,103.0,7.49,4.51,12.0,87.0,185.42000000000002
123,Montori Hughes,DT,329.0,5.23,26.5,104.0,7.85,4.7,4.0,139.0,193.04
124,Margus Hunt,DE,277.0,4.62,34.5,121.0,7.07,4.51,7.0,53.0,203.2
148,Datone Jones,DE,283.0,4.8,31.5,112.0,7.32,4.32,11.0,26.0,193.04
172,Bennie Logan,DT,309.0,5.08,25.0,104.0,7.53,4.67,34.0,67.0,187.96
263,Akeem Spence,DT,307.0,5.15,30.0,107.0,7.82,4.72,19.0,100.0,185.42000000000002
313,Brandon Williams,DT,335.0,5.37,29.5,102.0,8.09,4.91,29.0,94.0,185.42000000000002
319,Nicholas Williams,DT,309.0,4.94,33.0,111.0,7.55,4.65,3.0,223.0,193.04
322,Sylvester Williams,DT,313.0,5.03,26.5,102.0,7.93,4.8,29.0,28.0,190.5
33,Jay Bromley,DT,306.0,5.06,33.5,106.0,7.92,4.78,6.0,74.0,190.5
47,Ryan Carrethers,DT,337.0,5.47,26.0,88.0,7.89,4.6,6.0,165.0,185.42000000000002
72,Aaron Donald,DT,285.0,4.68,32.0,116.0,7.11,4.39,78.0,13.0,185.42000000000002
82,Justin Ellis,DT,334.0,5.27,28.0,92.0,7.81,4.75,20.0,107.0,185.42000000000002
118,Ra'Shede Hageman,DT,310.0,4.92,35.5,114.0,7.87,4.5,16.0,37.0,198.12
141,Louis Nix III,DT,331.0,5.32,25.5,97.0,8.29,4.94,0.0,83.0,187.96
161,DaQuan Jones,DT,322.0,5.35,27.5,101.0,7.73,4.78,28.0,112.0,193.04
251,Caraun Reid,DT,302.0,4.91,26.5,106.0,7.59,4.58,8.0,158.0,187.96
297,Will Sutton,DT,303.0,5.36,28.5,99.0,7.93,4.82,18.0,82.0,182.88
306,Khyri Thornton,DT,304.0,5.03,29.0,112.0,7.83,4.76,6.0,85.0,190.5
8,Henry Anderson,DE,294.0,4.97,30.0,111.0,7.2,4.19,21.0,93.0,198.12
11,Arik Armstead,DE,292.0,5.06,34.0,117.0,7.57,4.53,23.0,17.0,200.66
22,Angelo Blackson,DT,318.0,5.02,31.0,101.0,7.5,4.57,13.0,100.0,193.04
31,Malcom Brown,DT,319.0,5.05,29.5,98.0,7.84,4.59,37.0,32.0,187.96
61,Xavier Cooper,DT,293.0,4.86,29.0,110.0,7.23,4.37,5.0,96.0,190.5
76,Carl Davis,DT,320.0,5.07,33.0,103.0,7.91,4.47,7.0,90.0,195.58
78,Tyeler Davison,DT,316.0,5.18,33.0,105.0,7.53,4.46,25.0,154.0,187.96
170,Grady Jarrett,DT,304.0,5.06,31.0,112.0,7.37,4.56,34.0,137.0,185.42000000000002
181,"Mario Edwards, Jr.",DE,279.0,4.76,32.5,120.0,7.44,4.55,13.0,35.0,190.5
225,Rakeem Nunez-Roches,DT,307.0,5.02,34.0,114.0,7.67,4.69,10.0,217.0,187.96
241,Jordan Phillips,DT,329.0,5.17,30.0,105.0,7.88,4.68,17.0,52.0,195.58
273,Danny Shelton,DT,339.0,5.64,30.5,95.0,7.99,4.65,31.0,12.0,187.96
277,Deon Simon,DT,321.0,5.12,29.5,105.0,7.92,4.76,4.0,223.0,193.04
307,Leterrius Walton,DT,319.0,5.25,27.0,103.0,7.91,4.78,6.0,199.0,195.58
316,Leonard Williams,DT,302.0,4.97,29.5,106.0,7.59,4.53,41.0,6.0,195.58
325,Gabe Wright,DT,300.0,5.07,26.5,100.0,7.73,4.56,2.0,113.0,190.5
20,Andrew Billings,DT,311.0,5.05,27.5,113.0,8.05,4.82,30.0,122.0,185.42000000000002
21,Ronald Blair,DE,284.0,5.15,30.0,113.0,7.95,4.53,12.0,142.0,187.96
39,Deforest Buckner,DE,291.0,5.05,32.0,116.0,7.51,4.47,53.0,7.0,200.66
40,Jonathan Bullard,DE,285.0,4.93,32.0,116.0,7.31,4.56,9.0,72.0,190.5
45,Vernon Butler,DT,323.0,5.33,29.5,104.0,7.82,4.76,12.0,30.0,193.04
61,Maliek Collins,DT,311.0,5.03,29.5,109.0,7.53,4.52,31.0,67.0,187.96
78,Sheldon Day,DT,293.0,5.07,30.0,102.0,7.44,4.5,6.0,103.0,185.42000000000002
122,Javon Hargrave,DT,309.0,4.93,34.5,109.0,7.9,4.7,33.0,89.0,185.42000000000002
128,Willie Henry,DT,303.0,5.0,30.5,110.0,7.57,4.53,12.0,132.0,190.5
144,Matt Ioannidis,DT,299.0,5.03,28.0,108.0,7.78,4.71,19.0,152.0,190.5
153,Austin Johnson,DT,314.0,5.32,26.0,96.0,7.84,4.75,13.0,43.0,193.04
158,Chris Jones,DT,310.0,5.03,24.5,106.0,7.44,4.62,42.0,37.0,198.12
167,Bronson Kaufusi,DE,285.0,4.87,30.0,111.0,7.03,4.25,5.0,70.0,198.12
191,Dean Lowry,DE,296.0,4.87,32.5,114.0,7.26,4.38,29.0,137.0,198.12
223,Carl Nassib,DE,277.0,4.84,28.5,114.0,7.27,4.37,19.0,65.0,200.66
255,Sheldon Rankins,DT,299.0,5.03,34.5,118.0,7.44,4.59,18.0,12.0,185.42000000000002
256,D.J. Reader,DT,327.0,5.33,29.5,99.0,7.9,4.71,26.0,166.0,190.5
259,Jarran Reed,DT,307.0,5.21,31.0,104.0,7.77,4.75,31.0,49.0,190.5
260,Hassan Ridgeway,DT,303.0,5.02,32.0,113.0,8.28,4.82,9.0,116.0,190.5
264,A'Shawn Robinson,DT,307.0,5.2,26.0,106.0,7.8,4.74,21.0,46.0,193.04
313,Vincent Valentine,DT,329.0,5.19,29.0,110.0,8.03,4.59,9.0,96.0,193.04
317,Jihad Ward,DT,297.0,5.11,25.0,111.0,7.38,4.63,9.0,44.0,195.58
319,Adolphus Washington,DT,301.0,5.17,27.0,99.0,8.06,4.79,9.0,80.0,190.5
337,Anthony Zettel,DT,277.0,4.81,30.5,109.0,7.63,4.39,9.0,202.0,193.04
